time,lat,lon,h,x,y,z,speed,accel_x,accel_y,accel_z,roll,pitch,yaw,heading
24.958388,37.63149108,126.9702301,50.99107114,-388.12,6165.96,30.99,0.1,0.035777778,0.003185185,-0.028074074,-0.004257,-0.003044,0.00159,225.92
25.200007,37.63149117,126.9702301,50.98108084,-388.12,6165.97,30.98,0.05,-0.042444444,0.313407407,0.02237037,-0.001791,0.034596,0.000228,225.91
25.439511,37.63149117,126.97023,50.98108145,-388.13,6165.97,30.98,0.02,-0.099115385,0.155307692,-0.037115385,-0.000685,0.00843,-0.000486,225.91
25.680513,37.63149117,126.97023,50.98108145,-388.13,6165.97,30.98,0,0.024,0.023392857,-0.007285714,0.000643,-0.000342,-0.000275,225.91
25.925514,37.63149117,126.97023,50.98108145,-388.13,6165.97,30.98,0,0.010740741,0.011407407,0.00262963,0.00016,-0.000282,0.00029,225.91
26.159511,37.63149117,126.97023,50.98108145,-388.13,6165.97,30.98,0,0,0,0,0,0,0,225.91
26.399542,37.63149117,126.97023,50.98108145,-388.13,6165.97,30.98,0,0,0,0,0,0,0,225.91
26.640511,37.63149117,126.97023,50.98108145,-388.13,6165.97,30.98,0,0,0,0,0,0,0,225.91
26.880039,37.6314909,126.9702304,50.98104993,-388.09,6165.94,30.98,0.8,0.075666667,12.79814815,-0.17062963,0.013881,0.060917,-0.011526,225.86
27.125049,37.63148883,126.9702331,50.97081235,-387.85,6165.71,30.97,2.77,-0.130692308,10.18934615,-0.282076923,0.026717,0.07167,0.011234,225.84
27.360047,37.63148613,126.9702368,50.95050207,-387.53,6165.41,30.95,3.92,0.02825,8.477571429,-0.368892857,0.029374,0.027116,0.018927,225.95
27.600046,37.63148189,126.9702424,50.9300161,-387.03,6164.94,30.93,5.06,-1.327928571,6.614964286,-0.013464286,-0.004665,0.00946,0.145652,226.65
27.841047,37.63147712,126.9702498,50.90946297,-386.38,6164.41,30.91,6.01,-2.88562963,5.05562963,0.695666667,-0.081341,-0.04612,0.335425,228.64
28.8057,37.63147225,126.9702586,50.8888924,-385.6,6163.87,30.89,6.65,-2.712692308,3.426692308,0.397423077,-0.054634,-0.073212,0.640492,233.02
28.324081,37.63146748,126.970271,50.87831299,-384.51,6163.34,30.88,7.15,-1.528692308,2.188692308,0.098115385,-0.018994,-0.052681,0.93715,241.24
28.56108,37.63146496,126.9702806,50.85799051,-383.66,6163.06,30.86,7.46,-0.092714286,2.310785714,0.298071429,-0.038245,-0.174613,1.009597,248.31
28.80108,37.63146297,126.9702934,50.82770953,-382.53,6162.84,30.83,7.85,-2.501931034,1.607862069,2.108172414,0.137615,0.167491,1.004559,256.87
29.41087,37.6314627,126.9703068,50.81760989,-381.35,6162.81,30.82,8.16,1.336518519,2.514555556,0.105259259,-0.125612,0.018354,1.065509,265.79
